,date,id,link,retweet,text,author
3883,17 May 2015,599984503503880192,/realDonaldTrump/status/599984503503880194,False,Via @DMRegister by @brianneDMR:“Trump: Bring back jobs from overseas” http://www.desmoinesregister.com/story/news/elections/presidential/caucus/2015/05/16/trump-bring-back-jobs-overseas/27468129/ … Let's Make America Great Again!,DonaldTrump
3884,17 May 2015,599923448148799488,/realDonaldTrump/status/599923448148799488,True,"""@cspanPolitics: .@realDonaldTrump remarks at @IowaGOP #LincolnDinner on @cspan http://www.c-span.org/video/?c4537944  http://twitter.com/cspanPolitics/status/599919118406590464/photo/1pic.twitter.com/yrvYXjwbPw """,DonaldTrump
3885,17 May 2015,599923030765215744,/realDonaldTrump/status/599923030765215744,True,"""@1italianheart: We need a real American to run our country and that real man is @realDonaldTrump. Get this country back on track.",DonaldTrump
3886,16 May 2015,599694586240307200,/realDonaldTrump/status/599694586240307200,True,"""@loveb4youdie: Waiting for @realDonaldTrump to announce for president, tired of all these posers""  Stay tuned.",DonaldTrump
3887,16 May 2015,599687913304031232,/realDonaldTrump/status/599687913304031233,True,"""@AJ_13_Hulton: Best book I've ever read @realDonaldTrump pic.twitter.com/32KSrRkwCc""",DonaldTrump
3888,16 May 2015,599686764035313664,/realDonaldTrump/status/599686764035313664,True,"""@MikeRicks: Joining Reagan as POTUS with a star on the walk of fame @realDonaldTrump? #gotmyvote pic.twitter.com/2TOiP0hYPG""  Great.",DonaldTrump
3889,16 May 2015,599661839329435648,/realDonaldTrump/status/599661839329435648,False,Today is armed forces day. Thank you  to our military service members! I love you all!,DonaldTrump
3890,16 May 2015,599595317240176640,/realDonaldTrump/status/599595317240176640,False,Received a standing ovation in packed house @MorningsideEdu after Sam Clovis intro! Let's Make America Great Again!pic.twitter.com/3HXOYFNcFa,DonaldTrump
3891,16 May 2015,599551633681321984,/realDonaldTrump/status/599551633681321984,False,"I am in Iowa today, great STATE, fantastic PEOPLE! Many speeches, big crowds - all sold out! MAKE AMERICA GREAT AGAIN!",DonaldTrump
3892,15 May 2015,599308913771687936,/realDonaldTrump/status/599308913771687939,False,"Via @Newsmax_Media: ""14 Reasons Donald Trump Is Really Running — and Doing Well"" http://www.newsmax.com/TheWire/donald-trump-running-president-reasons/2015/05/15/id/644888/ …",DonaldTrump
3893,15 May 2015,599300814772002816,/realDonaldTrump/status/599300814772002816,False,Looking forward to being interviewed by Sam Clovis tomorrow at @MorningsideEdu in Sioux City at 10AM CT! Let’s Make America Great Again!,DonaldTrump
3894,15 May 2015,599271503096586240,/realDonaldTrump/status/599271503096586240,False,Excited to keynote of the sold-out Pottawattamie County Republican Party Lincoln/Reagan Dinner tonight! http://www.pottcogop.com/  Leaving now!,DonaldTrump
3895,15 May 2015,599202613666697216,/realDonaldTrump/status/599202613666697217,False,".@BillRancic  Bill, fantastic job this morning on @foxandfriends - you are a total winner and I am proud of you as first Apprentice CHAMP!",DonaldTrump
3896,15 May 2015,599198219856388096,/realDonaldTrump/status/599198219856388096,False,"I cannot believe how bad Jeb Bush looks with his insane answer on Iraq, and then his numerous corrections which made him look even worse.",DonaldTrump
3897,14 May 2015,599035010180579328,/realDonaldTrump/status/599035010180579332,True,"""@SkeeterSpinello:Trump might be the the smartest business man alive.But it's your honesty in your opinions that separate you from the field",DonaldTrump
3898,14 May 2015,599021681735270400,/realDonaldTrump/status/599021681735270400,True,"""@davesportsgod: @realDonaldTrump I hope you decide to really run for President this time. Are you going to make a decision soon?"" Very soon",DonaldTrump
3899,14 May 2015,599019686286774272,/realDonaldTrump/status/599019686286774273,True,"""@JDrago28: It was such an honor to meet @realDonaldTrump today in New Hampshire! What a great man! #NH #business pic.twitter.com/VWxnWsTmBH""",DonaldTrump
3900,14 May 2015,598840362027917312,/realDonaldTrump/status/598840362027917313,True,"""@DurandSentinus: Japan has faster trains & better safety. What is wrong with us?? AMTRAK! @realDonaldTrump could easily fix!",DonaldTrump
3901,14 May 2015,598839792604942336,/realDonaldTrump/status/598839792604942337,True,"""@GappistanRadio: Jeb Bush, Marco Rubio, Ted Cruz are not the answers. America needs Trump to send Hillary packing and make USA great again!",DonaldTrump
3902,14 May 2015,598839429332127744,/realDonaldTrump/status/598839429332127744,False,"“Failure isn’t fatal, but failure to change might be” – John Wooden",DonaldTrump
3903,13 May 2015,598587170249670656,/realDonaldTrump/status/598587170249670656,False,"Who ever heard of a legal conviction statement “more probable than not” against Tom Brady? Sue them, Tom, and make lots of $. @nfl",DonaldTrump
3904,13 May 2015,598582205464608768,/realDonaldTrump/status/598582205464608768,False,I hope Tom Brady sues the hell out of the @nfl for incompetence & defamation. They will drop the case against him--and he will win.,DonaldTrump
3905,13 May 2015,598577282115084288,/realDonaldTrump/status/598577282115084288,False,"You can be an @nfl player with murder charges and not be suspended. Yet with NO EVIDENCE, @nfl targeted Tom Brady. B.S.!",DonaldTrump
3906,13 May 2015,598563928176721920,/realDonaldTrump/status/598563928176721920,False,Looking forward to touring the @sigsauerinc world headquarters tomorrow! One of the top gun manufacturers in the US! #GunRights #TCOT,DonaldTrump
3907,13 May 2015,598475321856385024,/realDonaldTrump/status/598475321856385024,False,My major hotel conversion of The Old Post Office on Pennsylvania Avenue in D.C. is under budget and ahead of schedule. Should be U.S.A.,DonaldTrump
3908,13 May 2015,598473815195262976,/realDonaldTrump/status/598473815195262977,False,"We are rebuilding other countries while our own country is going to HELL. Time to rebuild the U.S.A.! Tell our stupid politicians, ENOUGH",DonaldTrump
3909,13 May 2015,598463630288560128,/realDonaldTrump/status/598463630288560128,False,"I am the BEST builder, just look at what I've built. Hillary can't build. Republican candidates can't build. They don't have a clue!",DonaldTrump
